id,nom_complet,email,password,centre_id
1,Amine ould Naoual,Amine.ould.Naoual@sante.dz,$2b$12$aFjbsPFTckAAavLdqIDNuu2JnCdivn9vqG1XK/yh6kTimkWRQ.U1W,172
2,Kaddour bel Ramzi,Kaddour.bel.Ramzi@sante.dz,$2b$12$9h9P/PCPBIslHwtQlqchI.Gim6NONgiNIFuycPpPaOukAhvIiwrwO,195
3,Sohaib bel Dirar,Sohaib.bel.Dirar@sante.dz,$2b$12$Mg5NHiyGWmeU.OAajsvbz.uMkHDyebN8M8D8I1GRcBL75CjU/20Uu,542
4,Zineb bel Dhiaa Eddine,Zineb.bel.Dhiaa.Eddine@sante.dz,$2b$12$91QUnTCHP13mdUpMQzSX2.QwPg69Myq8cWhEJ7kYRw/2IHvuu6RN.,273
5,Akram ould Sohaib,Akram.ould.Sohaib@sante.dz,$2b$12$mBItt0YUsY46U1XaYU7ve.voiKjm5t6.cJxJLoS4tFYVIVLVAOkma,351
6,Abde Al Bassit ben Amine,Abde.Al.Bassit.ben.Amine@sante.dz,$2b$12$jsWKyP049Wzh/GVYm9g6E.vIOKO6L2tlbwr7xsGH32hac9dHFk0Eq,201
7,Allaa Eddine bou Aicha,Allaa.Eddine.bou.Aicha@sante.dz,$2b$12$2CKePhLtNdVUxUzsLd7Tm.cXk8sew2wuZE5mXtxPTRZqhX0UzeJF2,5
8,Oussama ould Haitham,Oussama.ould.Haitham@sante.dz,$2b$12$MyPnt.5IptRQ5cBfuGZqRe0BcxVyuTHcs33Zz8QBrQyGY4vApFsAm,142
9,Saleh ould Amina,Saleh.ould.Amina@sante.dz,$2b$12$sZLyxkPx5Lw9QdCmWTFjpu78zXAYxgf/REStzqlZeEbCjLudbIxua,435
10,Zineb ben Khadija,Zineb.ben.Khadija@sante.dz,$2b$12$Xj7iuwW4sGi9RplIwABMEOPJ6mej9Pq0TQMBE99K7SVl7bEXltJrm,245
11,Foulla ould Abdel Allah,Foulla.ould.Abdel.Allah@sante.dz,$2b$12$251vQhS1nJ9InlXJ8uw9JeaGxlfmQN16mdaIV1H6A5VnrH6ah6uRq,326
12,Karima ould Yasmine,Karima.ould.Yasmine@sante.dz,$2b$12$QcByFyLwyDFFFgm4iUkHNO5IAtANH2GePK/gQRmyJ7kExl1aZDffe,298
13,Ahmed ben Amina,Ahmed.ben.Amina@sante.dz,$2b$12$hFOMnQluvBu0iK02QMZcAOIaW21.7RGG5aXTnJfF/78TgxH57ucXq,214
